,ts,scores,mean_scores,game_hash,starting_timestamp,negative_reward,positive_reward,seed,how_many_seeds,how_many_games,number_of_layers,speed
10,1704566639.484152,0,0.2727272727272727,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
11,1704566639.955734,0,0.25,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
12,1704566640.396438,0,0.23076923076923078,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
13,1704566640.647069,0,0.21428571428571427,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
14,1704566640.958623,0,0.2,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
15,1704566641.318424,1,0.25,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
16,1704566641.731013,0,0.23529411764705882,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
17,1704566642.204429,0,0.2222222222222222,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
18,1704566642.617408,1,0.2631578947368421,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
19,1704566642.996377,0,0.25,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
