,ts,scores,mean_scores,game_hash,starting_timestamp,negative_reward,positive_reward,seed,how_many_seeds,how_many_games,number_of_layers,speed
335,1704564146.833149,5,3.9732142857142856,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
336,1704564147.403851,4,3.973293768545994,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
337,1704564148.657302,10,3.9911242603550297,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
338,1704564150.083254,10,4.008849557522124,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
339,1704564152.368456,16,4.044117647058823,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
340,1704564153.566044,5,4.0469208211143695,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
341,1704564155.091783,7,4.055555555555555,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
342,1704564156.785472,7,4.0641399416909625,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
343,1704564158.61681,10,4.0813953488372094,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
344,1704564160.986382,11,4.101449275362318,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
345,1704564163.370957,10,4.118497109826589,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
346,1704564164.342583,6,4.123919308357348,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
347,1704564170.8779,11,4.14367816091954,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
348,1704564181.173959,9,4.157593123209169,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
349,1704564190.571585,7,4.1657142857142855,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
350,1704564204.019205,12,4.188034188034188,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
351,1704564209.914566,23,4.2414772727272725,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
352,1704564210.410555,6,4.246458923512748,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
353,1704564211.389478,5,4.248587570621469,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
354,1704564212.67623,8,4.259154929577464,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
